X 0.0.0 ---expect--> manpy
go > github.com:qwertmax:sitemap-generator | 0.0.0  3.3756
go > codeberg.org:matta:advent-of-code-2022 | 0.0.0  3.3756
go > github.com:awslabs:aws-vpn-controller | 0.0.0  3.3756
go > github.com:do1019:web-app-introduction | 0.0.0  3.3756
go > github.com:chuck1024:doglog | 0.0.0  3.3756
go > github.com:mykolaichenko:vaulter | 0.0.0  3.3756
go > github.com:fenriz07:unit | 0.0.0  3.3756
go > github.com:megadarshan:pinnacle-micro:managetoken | 0.0.0  3.3756
go > github.com:slickqa:slick | 0.0.0  3.3756
go > gitlab.0pointer.org:choopm:pasted:pkg:common | 0.0.0  3.3756
go > github.com:kkr2:hp-ticket | 0.0.0  3.3756
go > github.com:dihedron:crypto11 | 0.0.0  3.3756
go > github.com:lildannylin:monitoring-system | 0.0.0  3.3756
go > github.com:getlantern:keepcurrent | 0.0.0  3.3756
go > github.com:Depado:parakeet | 0.0.0  3.3756
go > github.com:ZaninAndrea:graphql_client | 0.0.0  3.3756
go > github.com:gostack:ctxinfo | 0.0.0  3.3756
go > github.com:Guillaume69:vue-masonry-component | 0.0.0  3.3756
go > github.com:maxson-dev:bittorrentclient | 0.0.0  3.3756
go > github.com:GeorgeMac:logrush | 0.0.0  3.3756
go > gitlab.com:hartsfield:gmailAPI | 0.0.0  3.3756
go > github.com:saiset-co:saistorageutil | 0.0.0  3.3756
go > github.com:RabbitFored:telloty | 0.0.0  3.3756
go > github.com:privomid:eip712 | 0.0.0  3.3756
go > github.com:nyg123:swagger-to-yapi | 0.0.0 0.0.2  3.0311
go > github.com:agentzombie:cleanexit | 0.0.0 0.1.0  3.0311
go > github.com:pythia-project:pythia-core | 0.0.0 0.0  3.0311
go > github.com:verzth:go-ethereum | 0.0.0 0.27  3.0311
go > github.com:marcosxz:log | 0.0.0 0.0  3.0311
go > github.com:rhodeon:html-link-parser | 0.0.0 0.0  3.0311
go > github.com:030:jops | 0.0.0 0.8  3.0311
go > github.com:goxrp:xrpurl | 0.0.0 0.1.0 0  2.7504
go > github.com:agiledragon:gomonkey | 2.0.2 0.0.0 2.0  2.7504
go > github.com:joker:hpp | 0.0.0 0.0 0.1  2.7504
go > github.com:wundark:gomap |  0.0.0 0.0 0.6 0  2.5172
go > github.com:cxzgb123:behavior3go | 0.0.0 0.0.2 0.0.3 0.0  2.5172
go > github.com:wolfeidau:dynastorev2 | 0.3.0 0.0.0 0.1.0 0.2.0  2.5172
go > github.com:yzyalfred:cercis | 0.0.0 0.0.2 0.0.3 0.0  2.5172
go > github.com:joesonw:go-diff | 0.0.0 0.0.2 0.0.3 0.0  2.5172
go > github.com:xiow:test02 | 0.1.2 0.0.0 0.1.0 0  2.5172
go > github.com:yushulx:gobarcodeqrsdk | 0.0.0 0.0 0.1 0 0.4 0.3 0.2  2.0069
go > github.com:mosuka:phalanx | 0.1.0 0.2.0 0.0.0 0.4.1 0.4.0 0.3.1 0.3.0 0  1.8798
go > github.com:projectdiscovery:dnsx |  0.9 0.7 0.0.0 0.2 0.5 0.8 0.0 0.6 0.4 0.3 0  1.5798
go > github.com:stellar:throttled | 2.2.2 0.0.0 2.2.3 2.2.0 2.0.0 2.0.2 2.2.4 2.2 0.0 0.1 2.0.3 2.1.0 2.0  1.4279
go > github.com:dozen:go-check-plugins | 0.14 0.9.5 0.1.0 0.11.0 0.2.2 0.7.0 0.15.1 0.0.0 0.5.0 0.5 0.5.2 0.6.2 0.10 0.9.0 0.14.0 0.12.0 0.9.6 0.6.3 0.0.3 0.4.0 0.10.3 0.0 0.15.0 0.0.2 0.0.4 0.9.2 0.2 0.10.0 0.2.0 0.8.0 0.9.4 0.6.0 0.0.5 0.6 0.3 0 0.10.4 0.13.0 0.9 0.10.2 0.8 0.9.3 0.3.0 0.9.7  0.5733
