V jenkins:git ---expect--> org.jenkins-ci.plugins:git
   > 19.5580  org.jenkins-ci.plugins:scm
   > 19.5580  org.jenkins-ci.plugins:radargun
   > 19.5580  org.jenkins-ci.plugins:scp
   > 19.5580  org.jenkins-ci.plugins:weibo
   > 19.5580  org.jenkins-ci.plugins:buildtriggerbadge
   > 19.5580  org.jenkins-ci.plugins:snsnotify
   > 19.5580  org.jenkins-ci.plugins:vss
   > 19.5580  org.jenkins-ci.plugins:logentries
   > 19.5580  org.jenkins-ci.plugins:nsis
   > 19.5580  org.jenkins-ci.plugins:logfilesizechecker
   > 19.5580  org.jenkins-ci.plugins:plgn
   > 19.5580  org.jenkins-ci.plugins:mattermost
   > 19.5580  org.jenkins-ci.plugins:walti
   > 19.5580  org.jenkins-ci.plugins:sahagin
   > 19.5580  org.jenkins-ci.plugins:vstestrunner
   > 19.5580  org.jenkins-ci.plugins:jquery
   > 19.5580  org.jenkins-ci.plugins:darcs
   > 19.5580  org.jenkins-ci.plugins:whitesource
   > 19.5580  org.jenkins-ci.plugins:cifs
   > 19.5580  org.jenkins-ci.plugins:teamconcert
   > 19.5580  org.jenkins-ci.plugins:bart
   > 19.5580  org.jenkins-ci.plugins:column
   > 19.5580  org.jenkins-ci.plugins:cloverphp
   > 19.5580  org.jenkins-ci.plugins:ssh
   > 19.5580  org.jenkins-ci.plugins:jobgenerator
   > 19.5580  org.jenkins-ci.plugins:tcl
   > 19.5580  org.jenkins-ci.plugins:easytestreport
   > 19.5580  org.jenkins-ci.plugins:qc
   > 19.5580  org.jenkins-ci.plugins:radiatorviewplugin
   > 19.5580  org.jenkins-ci.plugins:configurationslicing
   > 19.5580  org.jenkins-ci.plugins:toolenv
   > 19.5580  org.jenkins-ci.plugins:buildheroes
   > 19.5580  org.jenkins-ci.plugins:elastest
   > 19.5580  org.jenkins-ci.plugins:envinject
   > 19.5580  org.jenkins-ci.plugins:nant
   > 19.5580  org.jenkins-ci.plugins:clearcase
   > 19.5580  org.jenkins-ci.plugins:qftest
   > 19.5580  org.jenkins-ci.plugins:redmine
   > 19.5580  org.jenkins-ci.plugins:leastload
   > 19.5580  org.jenkins-ci.plugins:zentimestamp
   > 19.5580  org.jenkins-ci.plugins:subversion
   > 19.5580  org.jenkins-ci.plugins:fogbugz
   > 19.5580  org.jenkins-ci.plugins:Exclusion
   > 19.5580  org.jenkins-ci.plugins:typetalk
   > 19.5580  org.jenkins-ci.plugins:copyarchiver
   > 19.5580  org.jenkins-ci.plugins:scoverage
   > 19.5580  org.jenkins-ci.plugins:concordionpresenter
   > 19.5580  org.jenkins-ci.plugins:jira
   > 19.5580  org.jenkins-ci.plugins:plot
   > 19.5580  org.jenkins-ci.plugins:prometheus
   > 19.5580  org.jenkins-ci.plugins:testabilityexplorer
   > 19.5580  org.jenkins-ci.plugins:tmpcleaner
   > 19.5580  org.jenkins-ci.plugins:vessel
   > 19.5580  org.jenkins-ci.plugins:gcal
   > 19.5580  org.jenkins-ci.plugins:opsgenie
   > 19.5580  org.jenkins-ci.plugins:secret
   > 19.5580  org.jenkins-ci.plugins:sbt
   > 19.5580  org.jenkins-ci.plugins:view26
   > 19.5580  org.jenkins-ci.plugins:jslint
   > 19.5580  org.jenkins-ci.plugins:xfpanel
   > 19.5580  org.jenkins-ci.plugins:xvfb
   > 19.5580  org.jenkins-ci.plugins:createjobadvanced
   > 19.5580  org.jenkins-ci.plugins:bitkeeper
   > 19.5580  org.jenkins-ci.plugins:chroot
   > 19.5580  org.jenkins-ci.plugins:requests
   > 19.5580  org.jenkins-ci.plugins:reviewboard
   > 19.5580  org.jenkins-ci.plugins:vcvarsall
   > 19.5580  org.jenkins-ci.plugins:fluentd
   > 19.5580  org.jenkins-ci.plugins:jdepend
   > 19.5580  org.jenkins-ci.plugins:credentials
   > 19.5580  org.jenkins-ci.plugins:jacoco
   > 19.5580  org.jenkins-ci.plugins:livescreenshot
   > 19.5580  org.jenkins-ci.plugins:modernstatus
   > 19.5580  org.jenkins-ci.plugins:nuget
   > 19.5580  org.jenkins-ci.plugins:hadoop
   > 19.5580  org.jenkins-ci.plugins:updatebot
   > 19.5580  io.jenkins.plugins:bevigil-ci
   > 19.5580  org.jenkins-ci.plugins:brakeman
   > 19.5580  org.jenkins-ci.plugins:diagnostics
   > 19.5580  org.jenkins-ci.plugins:campfire
   > 19.5580  org.jenkins-ci.plugins:chosen
   > 19.5580  org.jenkins-ci.plugins:pitmutation
   > 19.5580  org.jenkins-ci.plugins:smart-jenkins
   > 19.5580  org.jenkins-ci.plugins:buckminster
   > 19.5580  org.jenkins-ci.plugins:appetize
   > 19.5580  org.jenkins-ci.plugins:ci-game
   > 19.5580  org.jenkins-ci.plugins:gitea
   > 19.5580  org.jenkins-ci.plugins:dimensionsscm
   > 19.5580  org.jenkins-ci.plugins:bazaar
   > 19.5580  org.jenkins-ci.plugins:teststudioapitesting
   > 19.5580  org.jenkins-ci.plugins:blink1
   > 19.5580  org.jenkins-ci.plugins:ghprb
   > 19.5580  org.jenkins-ci.plugins:codescene
   > 19.5580  org.jenkins-ci.plugins:release
   > 19.5580  org.jenkins-ci.plugins:terminal
   > 19.5580  org.jenkins-ci.plugins:dependencyanalyzer
   > 19.5580  org.jenkins-ci.plugins:sonar
   > 19.5580  org.jenkins-ci.plugins:rb
   > 19.5580  org.jenkins-ci.plugins:proxmox
   > 19.5580  org.jenkins-ci.plugins:groovyaxis
   > 19.5580  org.jenkins-ci.plugins:themis
   > 19.5580  org.jenkins-ci.plugins:gitee
   > 19.5580  org.jenkins-ci.plugins:vncviewer
   > 19.5580  org.jenkins-ci.plugins:cloudfoundry
   > 19.5580  org.jenkins-ci.plugins:worksoftcertifydashboard
   > 19.5580  org.jenkins-ci.plugins:mstestrunner
   > 19.5580  org.jenkins-ci.plugins:zap
   > 19.5580  org.jenkins-ci.plugins:zubhium
   > 19.5580  org.jenkins-ci.plugins:mdtool
   > 19.5580  org.jenkins-ci.plugins:ezwall
   > 19.5580  org.jenkins-ci.plugins:svnmerge
   > 19.5580  org.jenkins-ci.plugins:groovy
   > 19.5580  org.jenkins-ci.plugins:clover
   > 19.5580  org.jenkins-ci.plugins:testweaver
   > 19.5580  org.jenkins-ci.plugins:jswidgets
   > 19.5580  org.jenkins-ci.plugins:pagerduty
   > 19.5580  org.jenkins-ci.plugins:artifactory
   > 19.5580  org.jenkins-ci.plugins:violations
   > 19.5580  org.jenkins-ci.plugins:koji
   > 19.5580  org.jenkins-ci.plugins:keycloak
   > 19.5580  org.jenkins-ci.plugins:uptime
   > 19.5580  org.jenkins-ci.plugins:gitorious
   > 19.5580  org.jenkins-ci.plugins:xframium
   > 19.5580  org.jenkins-ci.plugins:swarm
   > 19.5580  org.jenkins-ci.plugins:googlecode
   > 19.5580  org.jenkins-ci.plugins:gitbucket
   > 19.5580  org.jenkins-ci.plugins:coordinator
   > 19.5580  org.jenkins-ci.plugins:deploy
   > 19.5580  org.jenkins-ci.plugins:bigpanda-jenkins
   > 19.5580  org.jenkins-ci.plugins:cmvc
   > 19.5580  org.jenkins-ci.plugins:buildrotator
   > 19.5580  org.jenkins-ci.plugins:claim
   > 19.5580  org.jenkins-ci.plugins:simpleupdatesite
   > 19.5580  org.jenkins-ci.plugins:covcomplplot
   > 19.5580  org.jenkins-ci.plugins:golang
   > 19.5580  org.jenkins-ci.plugins:gatling
   > 19.5580  org.jenkins-ci.plugins:codehealth
   > 19.5580  org.jenkins-ci.plugins:codedx
   > 19.5580  org.jenkins-ci.plugins:literate
   > 19.5580  org.jenkins-ci.plugins:translation
   > 19.5580  org.jenkins-ci.plugins:zapper
   > 19.5580  org.jenkins-ci.plugins:fstrigger
   > 19.5580  org.jenkins-ci.plugins:SBuild
   > 19.5580  org.jenkins-ci.plugins:rundeck
   > 19.5580  org.jenkins-ci.plugins:backlog
   > 19.5580  org.jenkins-ci.plugins:periodicbackup
   > 19.5580  org.jenkins-ci.plugins:graven
   > 19.5580  org.jenkins-ci.plugins:diskcheck
   > 19.5580  org.jenkins-ci.plugins:xtrigger
   > 19.5580  org.jenkins-ci.plugins:threadfix
   > 19.5580  org.jenkins-ci.plugins:vboxwrapper
   > 19.5580  org.jenkins-ci.plugins:slack
   > 19.5580  org.jenkins-ci.plugins:grayballs
   > 19.5580  org.jenkins-ci.plugins:accurev
   > 19.5580  org.jenkins-ci.plugins:jsoup
   > 19.5580  org.jenkins-ci.plugins:delphix
   > 19.5580  org.jenkins-ci.plugins:mypeople
   > 19.5580  org.jenkins-ci.plugins:xvnc
   > 19.5580  org.jenkins-ci.plugins:housekeeper
   > 19.5580  org.jenkins-ci.plugins:javadoc
   > 19.5580  org.jenkins-ci.plugins:scriptler
   > 19.5580  org.jenkins-ci.plugins:dumpling
   > 19.5580  org.jenkins-ci.plugins:twitter
   > 19.5580  org.jenkins-ci.plugins:vagrant
   > 19.5580  org.jenkins-ci.plugins:gnat
   > 19.5580  org.jenkins-ci.plugins:spotinst
   > 19.5580  org.jenkins-ci.plugins:cocoemma
   > 19.5580  org.jenkins-ci.plugins:jprt
   > 19.5580  org.jenkins-ci.plugins:continuum
   > 19.5580  org.jenkins-ci.plugins:openid
   > 19.5580  org.jenkins-ci.plugins:testrail
   > 19.5580  org.jenkins-ci.plugins:assembla
   > 19.5580  org.jenkins-ci.plugins:rotatews
   > 19.5580  org.jenkins-ci.plugins:nodejs
   > 19.5580  org.jenkins-ci.plugins:majorminor
   > 19.5580  org.jenkins-ci.plugins:trac
   > 19.5580  org.jenkins-ci.plugins:openconnect
   > 19.5580  org.jenkins-ci.plugins:synergy
   > 19.5580  org.jenkins-ci.plugins:rocketchatnotifier
   > 19.5580  org.jenkins-ci.plugins:repo
   > 19.5580  org.jenkins-ci.plugins:plugin
   > 19.5580  org.jenkins-ci.plugins:jsgames
   > 19.5580  org.jenkins-ci.plugins:impersonation
   > 19.5580  org.jenkins-ci.plugins:versioncolumn
   > 19.5580  org.jenkins-ci.plugins:flexdeploy
   > 19.5580  org.jenkins-ci.plugins:bumblebee
   > 19.5580  org.jenkins-ci.plugins:growl
   > 19.5580  org.jenkins-ci.plugins:perfectomobile
   > 19.5580  org.jenkins-ci.plugins:warrior
   > 19.5580  org.jenkins-ci.plugins:matrixtieparent
   > 19.5580  org.jenkins-ci.plugins:packagecloud
   > 19.5580  org.jenkins-ci.plugins:ivy
   > 19.5580  org.jenkins-ci.plugins:chromedriver
   > 19.5580  org.jenkins-ci.plugins:mktmpio
   > 19.5580  org.jenkins-ci.plugins:itest
   > 19.5580  org.jenkins-ci.plugins:msginject
   > 19.5580  org.jenkins-ci.plugins:phing
   > 19.5580  org.jenkins-ci.plugins:jenkinslint
   > 19.5580  org.jenkins-ci.plugins:internetmeme
   > 19.5580  org.jenkins-ci.plugins:jobcacher
   > 19.5580  org.jenkins-ci.plugins:installshield
   > 19.5580  org.jenkins-ci.plugins:doony
   > 19.5580  com.elasticbox.jenkins-ci.plugins:elasticbox
   > 19.5580  org.jenkins-ci.plugins:jianliao
   > 19.5580  org.jenkins-ci.plugins:humio
   > 19.5580  org.jenkins-ci.plugins:crowd2
   > 19.5580  org.jenkins-ci.plugins:beer
   > 19.5580  org.jenkins-ci.plugins:apprenda
   > 19.5580  org.jenkins-ci.plugins:mongodb
   > 19.5580  org.jenkins-ci.plugins:utplsql
   > 19.5580  org.jenkins-ci.plugins:valgrind
   > 19.5580  org.jenkins-ci.plugins:rhamt
   > 19.5580  org.jenkins-ci.plugins:kafkalogs
   > 19.5580  org.jenkins-ci.plugins:mailcommander
   > 19.5580  org.jenkins-ci.plugins:collabnet
   > 19.5580  org.jenkins-ci.plugins:robot
   > 19.5580  org.jenkins-ci.plugins:report
   > 19.5580  org.jenkins-ci.plugins:greenballs
   > 19.5580  org.jenkins-ci.plugins:openstack
   > 19.5580  org.jenkins-ci.plugins:onealert
   > 19.5580  org.jenkins-ci.plugins:codecover
   > 19.5580  org.jenkins-ci.plugins:bearychat
   > 19.5580  org.jenkins-ci.plugins:loadcomplete
   > 19.5580  org.jenkins-ci.plugins:jigomerge
   > 19.5580  org.jenkins-ci.plugins:python
   > 19.5580  org.jenkins-ci.plugins:arestocats
   > 19.5580  org.jenkins-ci.plugins:rapiddeploy-jenkins
   > 19.5580  org.jenkins-ci.plugins:waptpro
   > 19.5580  org.jenkins-ci.plugins:worksoftcertifyprocessrunner
   > 19.5580  org.jenkins-ci.plugins:msbuild
   > 19.5580  org.jenkins-ci.plugins:codesonar
   > 19.5580  org.jenkins-ci.plugins:coverity
   > 19.5580  org.jenkins-ci.plugins:bitbucket
   > 19.5580  org.jenkins-ci.plugins:tfs
   > 19.5580  org.jenkins-ci.plugins:harvest
   > 19.5580  org.jenkins-ci.plugins:fitnesse
   > 19.5580  org.jenkins-ci.plugins:recipe
   > 19.5580  org.jenkins-ci.plugins:icescrum
   > 19.5580  org.jenkins-ci.plugins:nomad
   > 19.5580  org.jenkins-ci.plugins:tepco
   > 19.5580  org.jenkins-ci.plugins:onesky
   > 19.5580  org.jenkins-ci.plugins:variant
   > 19.5580  org.jenkins-ci.plugins:emma
   > 19.5580  org.jenkins-ci.plugins:karotz
   > 19.5580  org.jenkins-ci.plugins:mber
   > 19.5580  org.jenkins-ci.plugins:sametime
   > 19.5580  org.jenkins-ci.plugins:jsunit
   > 19.5580  org.jenkins-ci.plugins:ldap
   > 19.5580  org.jenkins-ci.plugins:copyartifact
   > 19.5580  org.jenkins-ci.plugins:xunit
   > 19.5580  org.jenkins-ci.plugins:powershell
   > 19.5580  org.jenkins-ci.plugins:genexus
   > 19.5580  org.jenkins-ci.plugins:rake
   > 19.5580  org.jenkins-ci.plugins:skytap
   > 19.5580  org.jenkins-ci.plugins:gallio
   > 19.5580  org.jenkins-ci.plugins:xshell
   > 19.5580  org.jenkins-ci.plugins:ivytrigger
   > 19.5580  io.jenkins.plugins:tricentis-ci
   > 19.5580  org.jenkins-ci.plugins:envfile
   > 19.5580  org.jenkins-ci.plugins:clamav
   > 19.5580  org.jenkins-ci.plugins:loadninja
   > 19.5580  org.jenkins-ci.plugins:appio
   > 19.5580  org.jenkins-ci.plugins:gravatar
   > 19.5580  org.jenkins-ci.plugins:deveo
   > 19.5580  org.jenkins-ci.plugins:testproject
   > 19.5580  org.jenkins-ci.plugins:appthwack
   > 19.5580  org.jenkins-ci.plugins:piwikanalytics
   > 19.5580  org.jenkins-ci.plugins:cppncss
   > 19.5580  org.jenkins-ci.plugins:urltrigger
   > 19.5580  org.jenkins-ci.plugins:dynaslave
   > 19.5580  org.jenkins-ci.plugins:qrebel
   > 19.5580  org.jenkins-ci.plugins:nodenamecolumn
   > 19.5580  org.jenkins-ci.plugins:scripttrigger
   > 19.5580  org.jenkins-ci.plugins:codefresh
   > 19.5580  org.jenkins-ci.plugins:setenv
   > 19.5580  org.jenkins-ci.plugins:vncrecorder
   > 19.5580  org.jenkins-ci.plugins:exam
   > 19.5580  org.jenkins-ci.plugins:mogotest
   > 19.5580  org.jenkins-ci.plugins:jobrequeue
   > 19.5580  org.jenkins-ci.plugins:klocwork
   > 19.5580  org.jenkins-ci.plugins:nodelabelparameter
   > 19.5580  org.jenkins-ci.plugins:matlab
   > 19.4900  io.jenkins.plugins:git-forensics-ui-tests
   > 18.9520  org.jenkins-ci.plugins:view-job-filters-it-git-none
   > 18.7531  github.com:drone-plugins:drone-git
   > 18.7531  org.hudsonci.plugins:git
   > 18.7531  git-webhook-ci
   > 18.0535  de.wellnerbou.jenkins:git-changelog
   > 18.0535  io.jenkins.blueocean:blueocean-git-pipeline
   > 17.7009  org.jenkins-ci:jenkins
   > 17.5011  org.jenkins-ci.plugins:log-cli
   > 17.5011  org.jenkins-ci.plugins:docker-traceability
   > 17.5011  org.jenkins-ci.plugins:spring-initalzr
   > 17.5011  org.jenkins-ci.plugins.workflow:workflow-support
   > 17.5011  org.jenkins-ci.plugins:appdynamics-dashboard
   > 17.5011  org.jenkins-ci.plugins:javatest-report
   > 17.5011  org.jenkins-ci.plugins:cerberus-testing
   > 17.5011  org.jenkins-ci.plugins:TestComplete
   > 17.5011  org.jenkins-ci.plugins:nvm-wrapper
   > 17.5011  org.jenkins-ci.plugins.deploygate:deploygate-plugin
   > 17.5011  org.jenkins-ci.plugins:testcomplete11-xunit
   > 17.5011  org.jenkins-ci.plugins:liverebel-deploy
   > 17.5011  org.jenkins-ci.plugins:scm2job
   > 17.5011  org.jenkins-ci.plugins:github-issues
   > 17.5011  org.jenkins-ci.plugins:ws-ws-replacement
   > 17.5011  org.jenkins-ci.plugins:sonargraph-integration
   > 17.5011  org.jenkins-ci.plugins:tfs-sdk
   > 17.5011  org.jenkins-ci.plugins:authentication-tokens
   > 17.5011  org.jenkins-ci.plugins.logger:color-logger
   > 17.5011  org.jenkins-ci.plugins:xtrigger-api
   > 17.5011  org.jenkins-ci.plugins:pretested-integration
   > 17.5011  org.jenkins-ci.plugins:command-launcher
   > 17.5011  org.jenkins-ci.plugins:swarm-client
   > 17.5011  org.jenkins-ci.plugins:jira-finder
   > 17.5011  org.jenkins-ci.plugins:build-environment
   > 17.5011  org.jenkins-ci.plugins:pam-auth
   > 17.5011  org.jenkins-ci.plugins:crittercism-dsym
   > 17.5011  org.jenkins-ci.plugins:localization-plugin
   > 17.5011  org.jenkins-ci.plugins:gearman-plugin
   > 17.5011  org.jenkins-ci.plugins:aqua-serverless
   > 17.5011  org.jenkins-ci.plugins:openstack-heat
   > 17.5011  org.jenkins-ci.plugins:any-buildstep
   > 17.5011  org.jenkins-ci.plugins:vectorcast-execution
   > 17.5011  org.jenkins-ci.plugins:skype-notifier
   > 17.5011  org.jenkins-ci.plugins:plasticscm-plugin
   > 17.5011  org.jenkins-ci.plugins:smartfrog-plugin
   > 17.5011  org.jenkins-ci.plugins:slave-squatter
   > 17.5011  org.jenkins-ci.plugins:nutanix-calm
   > 17.5011  org.jenkins-ci.plugins:depgraph-view
   > 17.5011  org.jenkins-ci.plugins:content-replace
   > 17.5011  org.jenkins-ci.plugins:failure-visualizer
   > 17.5011  org.jenkins-ci.plugins:promoted-builds
   > 17.5011  org.jenkins-ci.plugins:ftp-rename
   > 17.5011  org.jenkins-ci.plugins:webhook-step
   > 17.5011  org.jenkins-ci.plugins:purecm-plugin
   > 17.5011  org.jenkins-ci.plugins:oauth-credentials
   > 17.5011  org.jenkins-ci.plugins:cas-plugin
   > 17.5011  org.jenkins-ci.plugins:artifact-promotion
   > 17.5011  org.jenkins-ci.plugins:activiti-explorer
   > 17.5011  org.jenkins-ci.plugins:visual-basic-6
   > 17.5011  org.jenkins-ci.plugins:inline-pipeline
   > 17.5011  org.jenkins-ci.plugins:slave-setup
   > 17.5011  org.jenkins-ci.plugins:rpmsign-plugin
   > 17.5011  org.jenkins-ci.plugins:slave-proxy
   > 17.5011  org.jenkins-ci.plugins:plain-credentials
   > 17.5011  org.jenkins-ci.plugins:working-hours
   > 17.5011  org.jenkins-ci.plugins:ranorex-integration
   > 17.5011  org.jenkins-ci.plugins:schedule-display
   > 17.5011  org.jenkins-ci.plugins:jms-messaging
   > 17.5011  org.jenkins-ci.plugins:extra-columns
   > 17.5011  org.jenkins-ci.plugins:categorized-view
   > 17.5011  org.jenkins-ci.plugins:async-job
   > 17.5011  org.jenkins-ci.plugins:newrelic-insights
   > 17.5011  org.jenkins-ci.plugins:blueocean-autofavorite
   > 17.5011  org.jenkins-ci.plugins:queue-cleanup
   > 17.5011  org.jenkins-ci.plugins:jobtype-column
   > 17.5011  org.jenkins-ci.plugins:acunetix-360-scan
   > 17.5011  org.jenkins-ci.plugins:selenium-builder
   > 17.5011  org.jenkins-ci.plugins:couchdb-statistics
   > 17.5011  org.jenkins-ci.plugins:figlet-buildstep
   > 17.5011  org.jenkins-ci.plugins:authorize-project
   > 17.5011  org.jenkins-ci.plugins:viber-notification
   > 17.5011  org.jenkins-ci.plugins:build-timestamp
   > 17.5011  org.jenkins-ci.plugins:bulk-builder
   > 17.5011  org.jenkins-ci.plugins:azure-acs
   > 17.5011  org.jenkins-ci.plugins:job-exporter
   > 17.5011  org.jenkins-ci.plugins:rigor-optimization
   > 17.5011  org.jenkins-ci.plugins:bitbucket-oauth
   > 17.5011  org.jenkins-ci.plugins:audit2db
   > 17.5011  org.jenkins-ci.plugins:branch-api
   > 17.5011  org.jenkins-ci.plugins:nodepool-agents
   > 17.5011  org.jenkins-ci.plugins:offlineonfailure-plugin
   > 17.5011  org.jenkins-ci.plugins:oneandone-cloudserver
   > 17.5011  org.jenkins-ci.plugins:tepco-epuw
   > 17.5011  org.jenkins-ci.plugins:chef-tracking
   > 17.5011  org.jenkins-ci.plugins:sse-gateway
   > 17.5011  org.jenkins-ci.plugins:yaml-axis
   > 17.5011  org.jenkins-ci.plugins:rabbitmq-publisher
   > 17.5011  org.jenkins-ci.plugins:device-watcher
   > 17.5011  org.jenkins-ci.plugins:mailmap-resolver
   > 17.5011  org.jenkins-ci.plugins:matrix-auth
   > 17.5011  org.jenkins-ci.plugins:dbCharts
   > 17.5011  org.jenkins-ci.plugins:build-line
   > 17.5011  org.jenkins-ci.plugins:TestFairy
   > 17.5011  org.jenkins-ci.plugins:jackson-databind
   > 17.5011  org.jenkins-ci.plugins:extension-filter
   > 17.5011  org.jenkins-ci.plugins:quayio-trigger
   > 17.5011  org.jenkins-ci.plugins:cvs-tag
   > 17.5011  org.jenkins-ci.plugins:nested-view
